"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"01002099999","2024-01-01T04:00:00","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","4","","17","24","","","+0.08","7","74","","29.63","29.59","","22","130","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07601002 46/// /1305 11043 21083 30021 40033 57027 333 11013 21054 90710 91106=","","","","","","","","","",""
"01002099999","2024-01-01T10:00:00","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","4","","27","28","","","+0.05","7","95","","29.51","29.48","","28","250","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07601002 46/// /2505 11021 21028 39982 49994 57017 333 11021 21034 90710 91106=","","","","","","","","","",""
"01002099999","2024-01-01T16:00:00","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","4","","26","28","","","0.01","9","90","","29.45","29.42","","27","360","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07601002 46/// /3614 11022 21036 39962 49974 50002 333 11018 21022 90710 91116=","","","","","","","","","",""
"01002099999","2024-01-01T22:00:00","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","4","","18","19","","","-0.06","2","94","","29.59","29.56","","19","310","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07601002 46/// /3111 11071 21079 30010 40022 52022 333 11058 21071 90710 91114=","","","","","","","","","",""
"01002099999","2024-01-02T04:00:00","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","4","","11","15","","","-0.03","1","84","","29.68","29.64","","14","300","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07601002 46/// /3013 11094 21116 30038 40051 51010 333 11087 21094 90710 91116=","","","","","","","","","",""
"01002099999","2024-01-02T10:00:00","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","4","","9","13","","","-0.04","2","85","","29.74","29.70","","12","290","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07601002 46/// /2912 11105 21126 30058 40070 52013 333 11101 21107 90710 91114=","","","","","","","","","",""
"01002099999","2024-01-02T22:00:00","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","4","","3","11","","","+0.01","8","72","","29.76","29.72","","9","280","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07601002 46/// /2807 11118 21159 30066 40079 58004 333 11116 21120 90710 91109=","","","","","","","","","",""
"01002099999","2024-01-03T04:00:00","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","4","","7","11","","","+0.01","6","85","","29.73","29.69","","10","040","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07601002 46/// /0409 11118 21138 30054 40067 56005 333 11112 21119 90710 91111=","","","","","","","","","",""
"01002099999","2024-01-03T10:00:00","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","4","","-2","5","","","-0.06","2","72","","29.82","29.79","","4","030","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07601002 46/// /0307 11151 21191 30087 40099 52019 333 11145 21151 90710 91111=","","","","","","","","","",""
"01002099999","2024-01-03T16:00:00","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","4","","-6","0","","","-0.01","3","75","","29.86","29.83","","-1","010","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07601002 46/// /0107 11179 21213 30100 40112 53004 333 11174 21180 90710 91109=","","","","","","","","","",""
